Al,"22/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"VST","VISTRA CORP","Imprese di servizi di pubblica utilità","Azionario","7.279.381,20","0,22","7.279.381,20","38.220,00","190,46","Stati Uniti","New York Stock Exchange Inc.","USD"
"KMI","KINDER MORGAN INC","Energia","Azionario","7.245.819,30","0,22","7.245.819,30","271.379,00","26,70","Stati Uniti","New York Stock Exchange Inc.","USD"
"6701","NEC CORP","IT","Azionario","7.121.865,79","0,22","7.121.865,79","225.600,00","31,57","Giappone","Tokyo Stock Exchange","JPY"
"AEP","AMERICAN ELECTRIC POWER INC","Imprese di servizi di pubblica utilità","Azionario","7.114.049,86","0,22","7.114.049,86","62.393,00","114,02","Stati Uniti","NASDAQ","USD"
"9434","SOFTBANK CORP","Comunicazione","Azionario","7.076.716,08","0,22","7.076.716,08","4.305.100,00","1,64","Giappone","Tokyo Stock Exchange","JPY"
"TRV","TRAVELERS COMPANIES INC","Finanziari","Azionario","6.944.272,86","0,21","6.944.272,86","25.134,00","276,29","Stati Uniti","New York Stock Exchange Inc.","USD"
"CBK","COMMERZBANK AG","Finanziari","Azionario","6.914.894,29","0,21","6.914.894,29","161.851,00","42,72","Germania","Xetra","EUR"
"G","ASSICURAZIONI GENERALI","Finanziari","Azionario","6.889.373,49","0,21","6.889.373,49","170.316,00","40,45","Italia","Borsa Italiana","EUR"
"MSI","MOTOROLA SOLUTIONS INC","IT","Azionario","6.809.477,22","0,21","6.809.477,22","14.742,00","461,91","Stati Uniti","New York Stock Exchange Inc.","USD"
"VRSN","VERISIGN INC","IT","Azionario","6.697.778,40","0,20","6.697.778,40","24.848,00","269,55","Stati Uniti","NASDAQ","USD"
"EOAN","E.ON N","Imprese di servizi di pubblica utilità","Azionario","6.654.999,52","0,20","6.654.999,52","367.711,00","18,10","Germania","Xetra","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Generi di largo consumo","Azionario","6.598.602,72","0,20","6.598.602,72","160.661,00","41,07","Paesi Bassi","Euronext Amsterdam","EUR"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Salute","Azionario","6.594.416,94","0,20","6.594.416,94","14.513,00","454,38","Stati Uniti","NASDAQ","USD"
"CAH","CARDINAL HEALTH INC","Salute","Azionario","6.579.638,70","0,20","6.579.638,70","44.427,00","148,10","Stati Uniti","New York Stock Exchange Inc.","USD"
"LUMI","BANK LEUMI LE ISRAEL","Finanziari","Azionario","6.442.649,56","0,20","6.442.649,56","348.831,00","18,47","Israele","Tel Aviv Stock Exchange","ILS"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Finanziari","Azionario","6.433.658,42","0,20","6.433.658,42","3.666,00","1.754,95","Canada","Toronto Stock Exchange","CAD"
"IFC","INTACT FINANCIAL CORP","Finanziari","Azionario","6.423.350,72","0,20","6.423.350,72","31.795,00","202,02","Canada","Toronto Stock Exchange","CAD"
"ETR","ENTERGY CORP","Imprese di servizi di pubblica utilità","Azionario","6.403.174,40","0,20","6.403.174,40","71.680,00","89,33","Stati Uniti","New York Stock Exchange Inc.","USD"
"LDO","LEONARDO FINMECCANICA SPA","Industriali","Azionario","6.402.272,03","0,20","6.402.272,03","115.388,00","55,48","Italia","Borsa Italiana","EUR"
"CVNA","CARVANA CLASS A","Consumi Discrezionali","Azionario","6.356.494,65","0,19","6.356.494,65","17.765,00","357,81","Stati Uniti","New York Stock Exchange Inc.","USD"
"HO","THALES SA","Industriali","Azionario","6.230.322,80","0,19","6.230.322,80","22.888,00","272,21","Francia","Nyse Euronext - Euronext Paris","EUR"
"8630","SOMPO HOLDINGS INC","Finanziari","Azionario","6.203.709,78","0,19","6.203.709,78","193.100,00","32,13","Giappone","Tokyo Stock Exchange","JPY"
"FNV","FRANCO NEVADA CORP","Materiali","Azionario","6.182.474,21","0,19","6.182.474,21","33.429,00","184,94","Canada","Toronto Stock Exchange","CAD"
"EXC","EXELON CORP","Imprese di servizi di pubblica utilità","Azionario","6.177.279,20","0,19","6.177.279,20","137.395,00","44,96","Stati Uniti","NASDAQ","USD"
"AFL","AFLAC INC","Finanziari","Azionario","6.166.384,84","0,19","6.166.384,84","56.854,00","108,46","Stati Uniti","New York Stock Exchange Inc.","USD"
"MFC","MANULIFE FINANCIAL CORP","Finanziari","Azionario","6.106.710,90","0,19","6.106.710,90","198.831,00","30,71","Canada","Toronto Stock Exchange","CAD"
"STAN","STANDARD CHARTERED PLC","Finanziari","Azionario","5.825.327,73","0,18","5.825.327,73","303.969,00","19,16","Regno unito","London Stock Exchange","GBP"
"CABK","CAIXABANK SA","Finanziari","Azionario","5.792.704,22","0,18","5.792.704,22","562.136,00","10,30","Spagna","Bolsa De Madrid","EUR"
"Z74","SINGAPORE TELECOMMUNICATIONS LTD","Comunicazione","Azionario","5.788.648,61","0,18","5.788.648,61","1.765.400,00","3,28","Singapore","Singapore Exchange","SGD"
"EBAY","EBAY INC","Consumi Discrezionali","Azionario","5.735.709,76","0,18","5.735.709,76","57.808,00","99,22","Stati Uniti","NASDAQ","USD"
"K","KINROSS GOLD CORP","Materiali","Azionario","5.654.045,90","0,17","5.654.045,90","288.638,00","19,59","Canada","Toronto Stock Exchange","CAD"
"SLHN","SWISS LIFE HOLDING AG","Finanziari","Azionario","5.626.727,72","0,17","5.626.727,72","5.009,00","1.123,32","Svizzera","SIX Swiss Exchange","CHF"
