Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","43,356,403.33","0.15","43,356,403.33","14,794,000.00","2.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","43,066,861.45","0.15","43,066,861.45","18,459,690.00","2.33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","43,055,529.21","0.15","43,055,529.21","31,614,986.00","1.36","Taiwan","Taiwan Stock Exchange","TWD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","42,719,123.06","0.15","42,719,123.06","1,303,339,085.00","3.28","Taiwan","-","TWD"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","42,642,047.56","0.15","42,642,047.56","9,943,950.00","4.29","India","National Stock Exchange Of India","INR"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","42,525,834.76","0.15","42,525,834.76","5,414,189.00","7.85","India","National Stock Exchange Of India","INR"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","41,708,058.72","0.15","41,708,058.72","3,282,000.00","12.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","41,446,814.93","0.15","41,446,814.93","30,544,000.00","1.36","Taiwan","Taiwan Stock Exchange","TWD"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","41,264,317.54","0.15","41,264,317.54","8,742,734.00","4.72","Taiwan","Taiwan Stock Exchange","TWD"
"MTN","MTN GROUP LTD","Communication","Equity","41,215,949.54","0.14","41,215,949.54","4,665,764.00","8.83","South Africa","Johannesburg Stock Exchange","ZAR"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","41,211,141.36","0.14","41,211,141.36","12,662,544.00","3.25","India","National Stock Exchange Of India","INR"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","41,151,210.02","0.14","41,151,210.02","9,002,000.00","4.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","41,015,880.30","0.14","41,015,880.30","1,999,000.00","20.52","Taiwan","Taiwan Stock Exchange","TWD"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","40,995,121.20","0.14","40,995,121.20","16,153,897.00","2.54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","40,661,764.09","0.14","40,661,764.09","201,686.00","201.61","China","Shanghai Stock Exchange","CNY"
"005490","POSCO","Materials","Equity","40,322,445.29","0.14","40,322,445.29","186,403.00","216.32","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","40,293,639.72","0.14","40,293,639.72","972,292.00","41.44","India","National Stock Exchange Of India","INR"
"PBBANK","PUBLIC BANK","Financials","Equity","39,741,781.28","0.14","39,741,781.28","37,727,900.00","1.05","Malaysia","Bursa Malaysia","MYR"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","38,975,939.30","0.14","38,975,939.30","8,677,800.00","4.49","Thailand","Stock Exchange Of Thailand","THB"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","38,566,760.75","0.14","38,566,760.75","9,621,865.00","4.01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","38,555,379.00","0.14","38,555,379.00","3,310,636.00","11.65","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","38,073,915.25","0.13","38,073,915.25","4,359,933.00","8.73","Mexico","Bolsa Mexicana De Valores","MXN"
"SBIN","STATE BANK OF INDIA","Financials","Equity","37,899,751.02","0.13","37,899,751.02","4,005,334.00","9.46","India","National Stock Exchange Of India","INR"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","37,835,083.63","0.13","37,835,083.63","65,844,000.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","36,949,633.17","0.13","36,949,633.17","19,963,440.00","1.85","India","National Stock Exchange Of India","INR"
"035720","KAKAO CORP","Communication","Equity","36,924,759.73","0.13","36,924,759.73","806,806.00","45.77","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","36,878,006.92","0.13","36,878,006.92","5,169,818.00","7.13","United Arab Emirates","Dubai Financial Market","AED"
"ITC","ITC LTD","Consumer Staples","Equity","36,648,796.41","0.13","36,648,796.41","7,885,695.00","4.65","India","National Stock Exchange Of India","INR"
"CEMEXCPO","CEMEX CPO","Materials","Equity","36,548,855.77","0.13","36,548,855.77","41,837,618.00","0.87","Mexico","Bolsa Mexicana De Valores","MXN"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","36,067,604.64","0.13","36,067,604.64","12,525,555.00","2.88","Brazil","XBSP","BRL"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","36,052,969.96","0.13","36,052,969.96","8,903,739.00","4.05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","35,950,823.28","0.13","35,950,823.28","2,179,584.00","16.49","Saudi Arabia","Saudi Stock Exchange","SAR"
