Fund Holdings as of,"21/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CVS","CVS HEALTH CORP","Health Care","Equity","22,460,663.49","0.10","22,460,663.49","314,443.00","71.43","United States","New York Stock Exchange Inc.","USD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","22,345,397.84","0.10","22,345,397.84","181,729.00","122.96","China","NASDAQ","USD"
"MCO","MOODYS CORP","Financials","Equity","22,308,162.89","0.10","22,308,162.89","43,787.00","509.47","United States","New York Stock Exchange Inc.","USD"
"MMM","3M","Industrials","Equity","22,277,497.14","0.10","22,277,497.14","144,303.00","154.38","United States","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Health Care","Equity","22,257,359.15","0.10","22,257,359.15","73,957.00","300.95","United States","New York Stock Exchange Inc.","USD"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","22,247,534.74","0.10","22,247,534.74","65,903.00","337.58","United States","NASDAQ","USD"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","22,223,200.89","0.10","22,223,200.89","34,162.00","650.53","Germany","Xetra","EUR"
"RHM","RHEINMETALL AG","Industrials","Equity","22,173,655.93","0.10","22,173,655.93","11,867.00","1,868.52","Germany","Xetra","EUR"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","21,853,586.22","0.10","21,853,586.22","347,213.00","62.94","United States","NASDAQ","USD"
"KKR","KKR AND CO INC","Financials","Equity","21,576,646.56","0.09","21,576,646.56","156,534.00","137.84","United States","New York Stock Exchange Inc.","USD"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","21,570,367.50","0.09","21,570,367.50","359,300.00","60.03","Japan","Tokyo Stock Exchange","JPY"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","21,318,890.20","0.09","21,318,890.20","200,554.00","106.30","United States","NASDAQ","USD"
"BMO","BANK OF MONTREAL","Financials","Equity","21,192,964.56","0.09","21,192,964.56","188,160.00","112.63","Canada","Toronto Stock Exchange","CAD"
"FI","FISERV INC","Financials","Equity","21,184,240.00","0.09","21,184,240.00","151,316.00","140.00","United States","New York Stock Exchange Inc.","USD"
