Fund Holdings as of,"22/Aug/2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TATASTEEL","TATA STEEL LTD","Materials","Equity","7,511,990.00","0.19","7,511,990.00","4,147,052.00","1.81","India","National Stock Exchange Of India","INR"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","7,464,618.91","0.19","7,464,618.91","13,226,086.00","0.56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","7,346,669.65","0.18","7,346,669.65","105,651.00","69.54","India","National Stock Exchange Of India","INR"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","7,335,820.56","0.18","7,335,820.56","9,922.00","739.35","Korea (South)","Korea Exchange (Stock Market)","KRW"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","7,196,208.14","0.18","7,196,208.14","33,473.00","214.99","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","7,015,589.39","0.17","7,015,589.39","1,482,380.00","4.73","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","7,014,621.88","0.17","7,014,621.88","26,591.00","263.80","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","7,001,828.88","0.17","7,001,828.88","1,739,062.00","4.03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2423","KE HOLDINGS INC","Real Estate","Equity","6,975,697.81","0.17","6,975,697.81","1,132,254.00","6.16","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MAYBANK","MALAYAN BANKING","Financials","Equity","6,965,647.59","0.17","6,965,647.59","3,004,824.00","2.32","Malaysia","Bursa Malaysia","MYR"
"SBID","STATE BANK OF INDIA REG S INDIA GD","Financials","Equity","6,698,226.20","0.17","6,698,226.20","71,182.00","94.10","India","London Stock Exchange","USD"
"196170","ALTEOGEN INC","Health Care","Equity","6,668,733.97","0.17","6,668,733.97","22,015.00","302.92","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","6,594,958.57","0.16","6,594,958.57","368,978.00","17.87","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","6,522,398.78","0.16","6,522,398.78","2,575,548.00","2.53","Taiwan","Taiwan Stock Exchange","TWD"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","6,517,456.81","0.16","6,517,456.81","1,096,600.00","5.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","6,354,360.30","0.16","6,354,360.30","5,965,107.00","1.07","Taiwan","Taiwan Stock Exchange","TWD"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","6,339,411.17","0.16","6,339,411.17","161,000.00","39.38","Taiwan","Taiwan Stock Exchange","TWD"
"LTOD","LARSEN AND TOUBRO SPONSORED GDR RE","Industrials","Equity","6,331,009.80","0.16","6,331,009.80","153,852.00","41.15","India","London Stock Exchange","USD"
"2887","TAISHIN FINANCIAL HOLDING LTD","Financials","Equity","6,304,749.77","0.16","6,304,749.77","11,837,071.00","0.53","Taiwan","Taiwan Stock Exchange","TWD"
"BMRI","BANK MANDIRI (PERSERO)","Financials","Equity","6,168,911.57","0.15","6,168,911.57","20,613,500.00","0.30","Indonesia","Indonesia Stock Exchange","IDR"
"009540","HD KOREA SHIPBUILDING & OFFSHORE E","Industrials","Equity","6,137,298.90","0.15","6,137,298.90","23,717.00","258.77","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TRENT","TRENT LTD","Consumer Discretionary","Equity","6,135,246.85","0.15","6,135,246.85","99,116.00","61.90","India","National Stock Exchange Of India","INR"
