Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
377,EDP SA,PTEDP0AM0009,Portugal,EUR,Euronext Lisbon,Equity,-,-,Utilities,0.0006391527
378,CLP HOLDINGS LTD,HK0002007356,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Utilities,0.0006364064
379,EMERA INC,CA2908761018,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Utilities,0.0006336922
380,CHOCOLADEFABRIKEN LINDT PC,CH0010570767,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Staples,0.0006278218
381,ABN AMRO BANK NV CVA,NL0011540547,Netherlands,EUR,Euronext Amsterdam,Depository Receipts,-,Amsterdam Exchanges Index,Financials,0.0006239592
382,FINECOBANK SPA,IT0000072170,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Financials,0.0006220688
383,OLYMPUS CORP,JP3201200007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0006209027
384,EPIROC AB,SE0015658109,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.0006203702
385,LINK REIT,HK0823032773,Hong Kong,HKD,-,Real Estate Investment Trust,-,Hang Seng Index,Real Estate,0.0006184151
386,SEKISUI HOUSE LTD,JP3420600003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0006142724
387,EQT AB,SE0012853455,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Financials,0.0006084552
388,ALFA LAVAL AB,SE0000695876,Sweden,SEK,Stockholm Stock Exchange,Equity,Baa1,OMX Stockholm 30 Index,Industrials,0.0006049449
389,EURONEXT NV,NL0006294274,Netherlands,EUR,Euronext Paris,Equity,-,CAC 40 Index,Financials,0.0006020862
390,COMPUTERSHARE LTD,AU000000CPU5,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Industrials,0.0006020754
391,KANSAI ELECTRIC POWER CO INC,JP3228600007,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Utilities,0.0006015916
392,EVOLUTION AB,SE0012673267,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Consumer Discretionary,0.0006007017
393,SCENTRE GROUP,AU000000SCG8,Australia,AUD,Australian Stock Exchange,Real Estate Investment Trust,-,ASX All Ordinaries Index,Real Estate,0.0006001869
394,INSURANCE AUSTRALIA GROUP,AU000000IAG3,Australia,AUD,Australian Stock Exchange,Equity,A2,ASX All Ordinaries Index,Financials,0.0005979395
395,SUMITOMO REALTY + DEVELOPMEN,JP3409000001,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Real Estate,0.0005977568
396,SHIONOGI + CO LTD,JP3347200002,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0005958241
397,SBI HOLDINGS INC,JP3436120004,Japan,JPY,Tokyo Stock Exchange,Equity,B1,TOPIX Index,Financials,0.0005949633
398,STRAUMANN HOLDING AG REG,CH1175448666,Switzerland,CHF,-,Equity,-,Swiss Market Index,Health Care,0.0005931399
399,TELSTRA GROUP LTD,AU000000TLS2,Australia,AUD,Australian Stock Exchange,Equity,A2,ASX All Ordinaries Index,Communication Services,0.0005926451
400,T+D HOLDINGS INC,JP3539220008,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0005885792
401,MONCLER SPA,IT0004965148,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Consumer Discretionary,0.0005883239
402,SYMRISE AG,DE000SYM9999,Germany,EUR,XETRA,Equity,-,DAX Index,Materials,0.0005881829
403,TOKYO GAS CO LTD,JP3573000001,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Utilities,0.0005858448
404,UNIBAIL RODAMCO WESTFIELD,FR0013326246,France,EUR,-,Real Estate Investment Trust,-,-,Real Estate,0.0005827533
405,FISHER + PAYKEL HEALTHCARE C,NZFAPE0001S2,New Zealand,NZD,New Zealand Exchange,Equity,-,NZX 50 Index,Health Care,0.0005776187
406,KONGSBERG GRUPPEN ASA,NO0013536151,Norway,NOK,Oslo Stock Exchange,Equity,-,Oslo SE All-share Index,Industrials,0.0005772846
407,ADMIRAL GROUP PLC,GB00B02J6398,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Financials,0.0005750411
408,ROGERS COMMUNICATIONS INC B,CA7751092007,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Communication Services,0.0005747633
409,ELBIT SYSTEMS LTD,IL0010811243,Israel,ILS,-,Equity,-,-,Industrials,0.0005709741
410,COCHLEAR LTD,AU000000COH5,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Health Care,0.0005681751
411,KINGSPAN GROUP PLC,IE0004927939,Ireland,EUR,Irish Stock Exchange,Equity,-,ISEQ Irish Overall Index,Industrials,0.0005668802
412,STANTEC INC,CA85472N1096,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Industrials,0.0005660353
413,MEDIOBANCA SPA,IT0000062957,Italy,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Financials,0.0005613389
414,SNAM SPA,IT0003153415,Italy,EUR,Milan Stock Exchange,Equity,Baa1,FTSE Italia All-Share Index,Utilities,0.0005570396
415,KAJIMA CORP,JP3210200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0005551677
416,GRAB HOLDINGS LTD,KYG4124C1096,Singapore,USD,NASDAQ National Market System,Equity,-,NASDAQ Composite Index,Industrials,0.000554785
417,COVESTRO AG,DE000A40KY26,Germany,EUR,-,Equity,-,DAX Index,Materials,0.0005546321
418,RENTOKIL INITIAL PLC,GB00B082RF11,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Industrials,0.0005533318
419,MAGNA INTERNATIONAL INC,CA5592224011,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.0005522701
420,ALAMOS GOLD INC CLASS A,CA0115321089,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0005503272
421,COLOPLAST B,DK0060448595,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Health Care,0.0005465549
422,GALAXY ENTERTAINMENT GROUP L,HK0027032686,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Consumer Discretionary,0.0005442782
423,AKZO NOBEL N.V.,NL0013267909,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Materials,0.0005430565
424,HYDRO ONE LTD,CA4488112083,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Utilities,0.0005402482
425,FIRST QUANTUM MINERALS LTD,CA3359341052,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0005377552
426,PANDORA A/S,DK0060252690,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Consumer Discretionary,0.0005339252
427,KIRIN HOLDINGS CO LTD,JP3258000003,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Consumer Staples,0.0005303549
428,FUTU HOLDINGS LTD,US36118L1061,Hong Kong,USD,NASDAQ National Market System,Equity,-,NASDAQ Composite Index,Financials,0.000529998
429,SUBARU CORP,JP3814800003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Consumer Discretionary,0.0005277302
430,OBIC CO LTD,JP3173400007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0005266875
