Unnamed: 0,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
1,ASML HOLDING NV,NL0010273215,Netherlands,EUR,Euronext Amsterdam,Equity,Baa2,Amsterdam Exchanges Index,Information Technology,0.0133917967
2,SAP SE,DE0007164600,Germany,EUR,XETRA,Equity,-,DAX Index,Information Technology,0.0127868209
3,ASTRAZENECA PLC,GB0009895292,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Health Care,0.0112512155
4,NESTLE SA REG,CH0038863350,Switzerland,CHF,Scoach Switzerland,Equity,Aa2,Swiss Market Index,Consumer Staples,0.0110670976
5,NOVARTIS AG,CH0012005267,Switzerland,CHF,Scoach Switzerland,Equity,Aa3,Swiss Market Index,Health Care,0.0108486542
6,HSBC HOLDINGS PLC,GB0005405286,United Kingdom,GBP,London Stock Exchange,Equity,Aa3,FTSE 100 Index,Financials,0.0103674532
7,ROCHE HOLDING AG,CH0012032048,Switzerland,CHF,Scoach Switzerland,Equity,A1,Swiss Market Index,Health Care,0.0102771391
8,SHELL PLC,GB00BP6MXD84,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Energy,0.0097744329
9,SIEMENS AG REG,DE0007236101,Germany,EUR,XETRA,Equity,Aa3,DAX Index,Industrials,0.0094594267
10,ROYAL BANK OF CANADA,CA7800871021,Canada,CAD,Toronto Stock Exchange,Equity,Aa3,S&P/TSX COMPOSITE Index,Financials,0.0087463367
11,TOYOTA MOTOR CORP,JP3633400001,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Consumer Discretionary,0.0085187835
12,DEUTSCHE GLOBAL LIQUIDITY SERI,IE00BYQNZ507,Ireland,USD,-,Mutual Fund,-,-,unknown,0.0085087306
13,COMMONWEALTH BANK OF AUSTRAL,AU000000CBA7,Australia,AUD,Australian Stock Exchange,Equity,Aa2,ASX All Ordinaries Index,Financials,0.0084220597
14,NOVO NORDISK A/S B,DK0062498333,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,-,Health Care,0.0082462808
15,MITSUBISHI UFJ FINANCIAL GROUP INC,JP3902900004,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Financials,0.0080249884
16,SONY GROUP CORP,JP3435000009,Japan,JPY,Tokyo Stock Exchange,Equity,Ba1,TOPIX Index,Consumer Discretionary,0.0079302011
17,SHOPIFY INC,CA82509L1076,Canada,CAD,New York Stock Exchange,Equity,-,S&P 500 Index,Information Technology,0.0077672136
18,ALLIANZ SE REG,DE0008404005,Germany,EUR,XETRA,Equity,Aa3,DAX Index,Financials,0.0075724513
19,LVMH MOET HENNESSY LOUIS VUI,FR0000121014,France,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Consumer Discretionary,0.0071671114
20,UNILEVER PLC,GB00B10RZP78,United Kingdom,GBP,London Stock Exchange,Equity,A1,FTSE 100 Index,Consumer Staples,0.0070933292
21,BANCO SANTANDER SA,ES0113900J37,Spain,EUR,Mercado Continuo Espana,Equity,Baa1,IBEX 35 Index,Financials,0.0066321901
22,BHP GROUP LTD,AU000000BHP4,Australia,AUD,Australian Stock Exchange,Equity,A1,ASX All Ordinaries Index,Materials,0.0062170232
23,SCHNEIDER ELECTRIC SE,FR0000121972,France,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Industrials,0.0061962375
24,UBS GROUP AG,CH0244767585,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0059620546
25,TOTALENERGIES SE,FR0000120271,France,EUR,Euronext Paris,Equity,Aa1,CAC 40 Index,Energy,0.0058808642
26,TORONTO DOMINION BANK,CA8911605092,Canada,CAD,Toronto Stock Exchange,Equity,Aa1,S&P/TSX COMPOSITE Index,Financials,0.0058501704
27,HITACHI LTD,JP3788600009,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Industrials,0.0057776104
28,DEUTSCHE TELEKOM AG REG,DE0005557508,Germany,EUR,XETRA,Equity,Baa1,DAX Index,Communication Services,0.0057748541
29,AIRBUS SE,NL0000235190,France,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Industrials,0.0056395157
30,AIR LIQUIDE SA,FR0000120073,France,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Materials,0.0055744133
31,IBERDROLA SA,ES0144580Y14,Spain,EUR,Mercado Continuo Espana,Equity,Baa1,IBEX 35 Index,Utilities,0.0055392011
32,SAFRAN SA,FR0000073272,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Industrials,0.0054869769
33,ROLLS ROYCE HOLDINGS PLC,GB00B63H8491,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Industrials,0.0053779094
34,BRITISH AMERICAN TOBACCO PLC,GB0002875804,United Kingdom,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Consumer Staples,0.0051999381
35,SANOFI,FR0000120578,France,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Health Care,0.0051134721
36,UNICREDIT SPA,IT0005239360,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Financials,0.0050885542
37,L OREAL,FR0000120321,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Consumer Staples,0.0050318852
38,BANCO BILBAO VIZCAYA ARGENTA,ES0113211835,Spain,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Financials,0.0050015312
39,ZURICH INSURANCE GROUP AG,CH0011075394,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0048518922
40,ABB LTD REG,CH0012221716,Switzerland,CHF,Scoach Switzerland,Equity,A2,Swiss Market Index,Industrials,0.0047853793
41,SPOTIFY TECHNOLOGY SA,LU1778762911,Luxembourg,USD,New York Stock Exchange,Equity,-,S&P 500 Index,Communication Services,0.0047815385
42,ENBRIDGE INC,CA29250N1050,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Energy,0.0046882057
43,SUMITOMO MITSUI FINANCIAL GROUP INC,JP3890350006,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Financials,0.0046668568
44,NINTENDO CO LTD,JP3756600007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0046582675
45,INTESA SANPAOLO,IT0000072618,Italy,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Financials,0.004484633
46,AIA GROUP LTD,HK0000069689,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Financials,0.0044842586
47,BNP PARIBAS,FR0000131104,France,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Financials,0.0044752101
48,SOFTBANK GROUP CORP,JP3436100006,Japan,JPY,Tokyo Stock Exchange,Equity,Ba1,TOPIX Index,Communication Services,0.0043292256
49,ESSILORLUXOTTICA,FR0000121667,France,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Health Care,0.004245432
50,BP PLC,GB0007980591,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Energy,0.0041317093
51,CIE FINANCIERE RICHEMO A REG,CH0210483332,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Consumer Discretionary,0.0040881147
52,BROOKFIELD CORP,CA11271J1075,Canada,CAD,-,Equity,-,-,Financials,0.0040457475
53,RELX PLC,GB00B2B0DG97,United Kingdom,GBP,London Stock Exchange,Equity,Baa1,FTSE 100 Index,Industrials,0.0040284004
54,AXA SA,FR0000120628,France,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Financials,0.0039550186
55,MUENCHENER RUECKVER AG REG,DE0008430026,Germany,EUR,XETRA,Equity,Aa3,DAX Index,Financials,0.0039003193
56,WESTPAC BANKING CORP,AU000000WBC1,Australia,AUD,Australian Stock Exchange,Equity,Aa2,ASX All Ordinaries Index,Financials,0.0038838747
57,RHEINMETALL AG,DE0007030009,Germany,EUR,XETRA,Equity,Ba1,DAX Index,Industrials,0.003825361
58,NATIONAL AUSTRALIA BANK LTD,AU000000NAB4,Australia,AUD,Australian Stock Exchange,Equity,Aa2,ASX All Ordinaries Index,Financials,0.0038045107
59,DBS GROUP HOLDINGS LTD,SG1L01001701,Singapore,SGD,-,Equity,-,-,Financials,0.0037751563
60,RECRUIT HOLDINGS CO LTD,JP3970300004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Industrials,0.0037740076
61,MITSUBISHI HEAVY INDUSTRIES,JP3900000005,Japan,JPY,Tokyo Stock Exchange,Equity,Baa1,TOPIX Index,Industrials,0.0037379636
62,BANK OF MONTREAL,CA0636711016,Canada,CAD,Toronto Stock Exchange,Equity,Aa3,S&P/TSX COMPOSITE Index,Financials,0.0037150012
63,TOKIO MARINE HOLDINGS INC,JP3910660004,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0036971702
64,GSK PLC,GB00BN7SWP63,United Kingdom,GBP,-,Equity,-,-,Health Care,0.0036837504
65,PROSUS NV,NL0013654783,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Consumer Discretionary,0.0036784626
66,MIZUHO FINANCIAL GROUP INC,JP3885780001,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Financials,0.0035333693
67,ING GROEP NV,NL0011821202,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Financials,0.0035168713
68,HERMES INTERNATIONAL,FR0000052292,France,EUR,Euronext Paris,Equity,-,CAC 40 Index,Consumer Discretionary,0.0034963288
69,ENEL SPA,IT0003128367,Italy,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Utilities,0.0034871616
70,MITSUBISHI CORP,JP3898400001,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Industrials,0.0033953237
71,VINCI SA,FR0000125486,France,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Industrials,0.0033691603
72,KEYENCE CORP,JP3236200006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0033432469
73,SIEMENS ENERGY AG,DE000ENER6Y0,Germany,EUR,-,Equity,-,DAX Index,Industrials,0.0033290926
74,BARCLAYS PLC,GB0031348658,United Kingdom,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Financials,0.0032566105
75,BANK OF NOVA SCOTIA,CA0641491075,Canada,CAD,Toronto Stock Exchange,Equity,Aa2,S&P/TSX COMPOSITE Index,Financials,0.0032166091
76,BAE SYSTEMS PLC,GB0002634946,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Industrials,0.0032138743
77,SEA LTD,US81141R1005,Singapore,USD,New York Stock Exchange,Equity,-,S&P 500 Index,Communication Services,0.003170119
78,RIO TINTO PLC,GB0007188757,United Kingdom,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Materials,0.0031675608
79,CANADIAN PACIFIC KANSAS CITY,CA13646K1084,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Industrials,0.0031363107
80,NATIONAL GRID PLC,GB00BDR05C01,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Utilities,0.0031287839
81,WESFARMERS LTD,AU000000WES1,Australia,AUD,Australian Stock Exchange,Equity,A3,ASX All Ordinaries Index,Consumer Discretionary,0.0031184925
82,HONG KONG EXCHANGES + CLEAR,HK0388045442,Hong Kong,HKD,-,Equity,-,Hang Seng Index,Financials,0.0031092252
83,AGNICO EAGLE MINES LTD,CA0084741085,Canada,CAD,Toronto Stock Exchange,Equity,B1,S&P/TSX COMPOSITE Index,Materials,0.0030890876
84,CAN IMPERIAL BK OF COMMERCE,CA1360691010,Canada,CAD,Toronto Stock Exchange,Equity,Aa3,S&P/TSX COMPOSITE Index,Financials,0.003076567
85,DEUTSCHE BANK AG REGISTERED,DE0005140008,Germany,EUR,XETRA,Equity,-,DAX Index,Financials,0.0030750909
86,LLOYDS BANKING GROUP PLC,GB0008706128,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Financials,0.0030597704
87,CSL LTD,AU000000CSL8,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Health Care,0.0030489784
88,CONSTELLATION SOFTWARE INC,CA21037X1006,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Information Technology,0.0029745876
89,ITOCHU CORP,JP3143600009,Japan,JPY,Tokyo Stock Exchange,Equity,Baa1,TOPIX Index,Industrials,0.0029626782
90,CANADIAN NATURAL RESOURCES,CA1363851017,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0029227506
91,ANZ GROUP HOLDINGS LTD,AU000000ANZ3,Australia,AUD,Australian Stock Exchange,Equity,Aa2,ASX All Ordinaries Index,Financials,0.0029224461
92,DIAGEO PLC,GB0002374006,United Kingdom,GBP,London Stock Exchange,Equity,A3,FTSE 100 Index,Consumer Staples,0.0028546225
93,ANHEUSER BUSCH INBEV SA/NV,BE0974293251,Belgium,EUR,Euronext Brussels,Equity,-,BEL 20 Index,Consumer Staples,0.0028265541
94,FAST RETAILING CO LTD,JP3802300008,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Consumer Discretionary,0.0028176871
95,NATWEST GROUP PLC,GB00BM8PJY71,United Kingdom,GBP,-,Equity,-,-,Financials,0.0027705347
96,TOKYO ELECTRON LTD,JP3571400005,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0027431688
97,LONDON STOCK EXCHANGE GROUP,GB00B0SWJX34,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Financials,0.0027257217
98,COMPASS GROUP PLC,GB00BD6K4575,United Kingdom,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Consumer Discretionary,0.0026943872
99,FERRARI NV,NL0011585146,Italy,EUR,Milan Stock Exchange,Equity,-,FTSE Italia All-Share Index,Consumer Discretionary,0.0026829937
100,DEUTSCHE BOERSE AG,DE0005810055,Germany,EUR,XETRA,Equity,Aa2,DAX Index,Financials,0.0025381759
101,INFINEON TECHNOLOGIES AG,DE0006231004,Germany,EUR,XETRA,Equity,-,DAX Index,Information Technology,0.0025273233
102,MITSUI + CO LTD,JP3893600001,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Industrials,0.0025200276
103,INDUSTRIA DE DISENO TEXTIL,ES0148396007,Spain,EUR,Mercado Continuo Espana,Equity,-,IBEX 35 Index,Consumer Discretionary,0.0025156433
104,ADVANTEST CORP,JP3122400009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Information Technology,0.0025125159
105,KDDI CORP,JP3496400007,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0025005702
106,SHIN ETSU CHEMICAL CO LTD,JP3371200001,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Materials,0.0024984523
107,DANONE,FR0000120644,France,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Consumer Staples,0.0024763312
108,SWISS RE AG,CH0126881561,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0024741539
109,INVESTOR AB B SHS,SE0015811963,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Financials,0.0024334587
110,3I GROUP PLC,GB00B1YW4409,United Kingdom,GBP,London Stock Exchange,Equity,Baa2,FTSE 100 Index,Financials,0.0024201511
111,TC ENERGY CORP,CA87807B1076,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0024009546
112,MACQUARIE GROUP LTD,AU000000MQG1,Australia,AUD,Australian Stock Exchange,Equity,A3,ASX All Ordinaries Index,Financials,0.0023800062
113,MANULIFE FINANCIAL CORP,CA56501R1064,Canada,CAD,Toronto Stock Exchange,Equity,A2,S&P/TSX COMPOSITE Index,Financials,0.0023661474
114,RECKITT BENCKISER GROUP PLC,GB00B24CGK77,United Kingdom,GBP,London Stock Exchange,Equity,A1,FTSE 100 Index,Consumer Staples,0.0023206281
115,COMPAGNIE DE SAINT GOBAIN,FR0000125007,France,EUR,Euronext Paris,Equity,Baa2,CAC 40 Index,Industrials,0.0023143445
116,CANADIAN NATL RAILWAY CO,CA1363751027,Canada,CAD,Toronto Stock Exchange,Equity,A3,S&P/TSX COMPOSITE Index,Industrials,0.002289338
117,LONZA GROUP AG REG,CH0013841017,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Health Care,0.0022843047
118,BASF SE,DE000BASF111,Germany,EUR,XETRA,Equity,A1,DAX Index,Materials,0.0022561106
119,VOLVO AB B SHS,SE0000115446,Sweden,SEK,Stockholm Stock Exchange,Equity,Baa2,OMX Stockholm 30 Index,Industrials,0.0022497246
120,NORDEA BANK ABP,FI4000297767,Finland,EUR,Helsinki Stock Exchange,Equity,-,OMX Stockholm 30 Index,Financials,0.002228328
121,TAKEDA PHARMACEUTICAL CO LTD,JP3463000004,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Health Care,0.0022257575
122,SUNCOR ENERGY INC,CA8672241079,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Energy,0.002211454
123,SOCIETE GENERALE SA,FR0000130809,France,EUR,Euronext Paris,Equity,A2,CAC 40 Index,Financials,0.002186915
124,HONDA MOTOR CO LTD,JP3854600008,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Consumer Discretionary,0.0021617932
125,EXPERIAN PLC,GB00B19NLV48,Ireland,GBP,London Stock Exchange,Equity,-,FTSE 100 Index,Industrials,0.00215465
126,MITSUBISHI ELECTRIC CORP,JP3902400005,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Industrials,0.0021426163
127,SOFTBANK CORP,JP3732000009,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Communication Services,0.0021040029
128,DSV A/S,DK0060079531,Denmark,DKK,Copenhagen Stock Exchange,Equity,-,OMX COPENHAGEN 20 Index,Industrials,0.0021024283
129,MERCEDES BENZ GROUP AG,DE0007100000,Germany,EUR,XETRA,Equity,A3,DAX Index,Consumer Discretionary,0.0020857735
130,GOODMAN GROUP,AU000000GMG2,Australia,AUD,Australian Stock Exchange,Real Estate Investment Trust,Baa2,ASX All Ordinaries Index,Real Estate,0.0020266481
131,HOYA CORP,JP3837800006,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Health Care,0.0020262725
132,DHL GROUP,DE0005552004,Germany,EUR,XETRA,Equity,Baa1,DAX Index,Industrials,0.0020212082
133,BARRICK MINING CORP,CA06849F1080,Canada,CAD,-,Equity,-,-,Materials,0.0020117978
134,OVERSEA CHINESE BANKING CORP,SG1S04926220,Singapore,SGD,-,Equity,-,-,Financials,0.0020027265
135,HALEON PLC,GB00BMX86B70,United Kingdom,GBP,-,Equity,-,-,Health Care,0.0019896568
136,ADYEN NV,NL0012969182,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Financials,0.0019663786
137,HOLCIM LTD,CH0012214059,Switzerland,CHF,Scoach Switzerland,Equity,Baa2,Swiss Market Index,Materials,0.0019536365
138,WHEATON PRECIOUS METALS CORP,CA9628791027,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0019400839
139,DAIICHI SANKYO CO LTD,JP3475350009,Japan,JPY,Tokyo Stock Exchange,Equity,A1,TOPIX Index,Health Care,0.0019357016
140,FUJITSU LIMITED,JP3818000006,Japan,JPY,Tokyo Stock Exchange,Equity,Baa1,TOPIX Index,Information Technology,0.0019263613
141,ATLAS COPCO AB,SE0017486889,Sweden,SEK,-,Equity,-,OMX Stockholm 30 Index,Industrials,0.001925513
142,NATIONAL BANK OF CANADA,CA6330671034,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Financials,0.0019159857
143,ALCON AG,CH0432492467,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Health Care,0.0018452134
144,GLENCORE PLC,JE00B4T3BW64,Switzerland,GBP,London Stock Exchange,Equity,Aa3,FTSE 100 Index,Materials,0.0018254407
145,ARGENX SE,NL0010832176,Netherlands,EUR,Euronext Brussels,Equity,-,-,Health Care,0.0018242409
146,LEGRAND SA,FR0010307819,France,EUR,Euronext Paris,Equity,A3,CAC 40 Index,Industrials,0.0018210945
147,E.ON SE,DE000ENAG999,Germany,EUR,XETRA,Equity,A3,DAX Index,Utilities,0.0018175161
148,CAIXABANK SA,ES0140609019,Spain,EUR,Mercado Continuo Espana,Equity,Baa3,IBEX 35 Index,Financials,0.0018171082
149,ENGIE,FR0010208488,France,EUR,Euronext Paris,Equity,A1,CAC 40 Index,Utilities,0.0017965943
150,GIVAUDAN SA,CH0010645932,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Materials,0.0017656651
151,JAPAN TOBACCO INC,JP3726800000,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Consumer Staples,0.0017653929
152,ENI SPA,IT0003132476,Italy,EUR,Milan Stock Exchange,Equity,A3,FTSE Italia All-Share Index,Energy,0.0017602758
153,TESCO PLC,GB00BLGZ9862,United Kingdom,GBP,-,Equity,-,-,Consumer Staples,0.0017402932
154,DOLLARAMA INC,CA25675T1075,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.00173409
155,NEC CORP,JP3733000008,Japan,JPY,Tokyo Stock Exchange,Equity,Baa2,TOPIX Index,Information Technology,0.0017337632
156,STANDARD CHARTERED PLC,GB0004082847,United Kingdom,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Financials,0.0017305368
157,AMADEUS IT GROUP SA,ES0109067019,Spain,EUR,Mercado Continuo Espana,Equity,Baa2,IBEX 35 Index,Consumer Discretionary,0.0017109328
158,ALIMENTATION COUCHE TARD INC,CA01626P1484,Canada,CAD,Toronto Stock Exchange,Equity,-,-,Consumer Staples,0.0017096177
159,COMMERZBANK AG,DE000CBK1001,Germany,EUR,XETRA,Equity,Baa1,DAX Index,Financials,0.0016994904
160,KONINKLIJKE AHOLD DELHAIZE N,NL0011794037,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Consumer Staples,0.001676625
161,SIKA AG,CH0418792922,Switzerland,CHF,-,Equity,-,Swiss Market Index,Materials,0.0016193353
162,FRANCO NEVADA CORP,CA3518581051,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Materials,0.0016181543
163,ASSA ABLOY AB B,SE0007100581,Sweden,SEK,Stockholm Stock Exchange,Equity,-,OMX Stockholm 30 Index,Industrials,0.0016137958
164,INTACT FINANCIAL CORP,CA45823T1066,Canada,CAD,Toronto Stock Exchange,Equity,Baa1,S&P/TSX COMPOSITE Index,Financials,0.0016107658
165,PRUDENTIAL PLC,GB0007099541,Hong Kong,GBP,London Stock Exchange,Equity,A2,FTSE 100 Index,Financials,0.0015766134
166,FAIRFAX FINANCIAL HLDGS LTD,CA3039011026,Canada,CAD,Toronto Stock Exchange,Equity,Baa3,S&P/TSX COMPOSITE Index,Financials,0.001571881
167,GENERALI,IT0000062072,Italy,EUR,Milan Stock Exchange,Equity,Baa2,FTSE Italia All-Share Index,Financials,0.0015638516
168,DAIKIN INDUSTRIES LTD,JP3481800005,Japan,JPY,Tokyo Stock Exchange,Equity,A3,TOPIX Index,Industrials,0.0015625203
169,UNITED OVERSEAS BANK LTD,SG1M31001969,Singapore,SGD,-,Equity,-,-,Financials,0.00156204
170,ADIDAS AG,DE000A1EWWW0,Germany,EUR,XETRA,Equity,-,DAX Index,Consumer Discretionary,0.0015339043
171,SUN LIFE FINANCIAL INC,CA8667961053,Canada,CAD,Toronto Stock Exchange,Equity,A2,S&P/TSX COMPOSITE Index,Financials,0.0015088643
172,ANGLO AMERICAN PLC,GB00BTK05J60,United Kingdom,GBP,-,Equity,-,-,Materials,0.001489947
173,NTT INC,JP3735400008,Japan,JPY,Tokyo Stock Exchange,Equity,Aa2,TOPIX Index,Communication Services,0.0014848353
174,IMPERIAL BRANDS PLC,GB0004544929,United Kingdom,GBP,London Stock Exchange,Equity,Baa3,FTSE 100 Index,Consumer Staples,0.0014778775
175,BAYER AG,DE000BAY0017,Germany,EUR,XETRA,Equity,A3,DAX Index,Health Care,0.0014735397
176,WOODSIDE ENERGY GROUP LTD,AU0000224040,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Energy,0.0014650177
177,CAMECO CORP,CA13321L1085,Canada,CAD,Toronto Stock Exchange,Equity,-,S&P/TSX COMPOSITE Index,Energy,0.0014545524
178,SWISS LIFE HOLDING AG REG,CH0014852781,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0014520211
179,WOLTERS KLUWER,NL0000395903,Netherlands,EUR,Euronext Amsterdam,Equity,Baa1,Amsterdam Exchanges Index,Industrials,0.0014413245
180,ASHTEAD GROUP PLC,GB0000536739,United Kingdom,GBP,London Stock Exchange,Equity,Ba2,FTSE 100 Index,Industrials,0.0014379894
181,PARTNERS GROUP HOLDING AG,CH0024608827,Switzerland,CHF,Scoach Switzerland,Equity,-,Swiss Market Index,Financials,0.0014352837
182,HEIDELBERG MATERIALS AG,DE0006047004,Germany,EUR,XETRA,Equity,Ba1,DAX Index,Materials,0.0014264694
183,MS&AD INSURANCE GROUP HOLDINGS INC,JP3890310000,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0014254634
184,UNIVERSAL MUSIC GROUP NV,NL0015000IY2,Netherlands,EUR,Euronext Amsterdam,Equity,-,Amsterdam Exchanges Index,Communication Services,0.0014248354
185,MARUBENI CORP,JP3877600001,Japan,JPY,Tokyo Stock Exchange,Equity,Baa2,TOPIX Index,Industrials,0.0014239195
186,ORANGE,FR0000133308,France,EUR,Euronext Paris,Equity,Baa1,CAC 40 Index,Communication Services,0.0014156811
187,BAYERISCHE MOTOREN WERKE AG,DE0005190003,Germany,EUR,XETRA,Equity,A2,DAX Index,Consumer Discretionary,0.0013924407
188,ORIX CORP,JP3200450009,Japan,JPY,Tokyo Stock Exchange,Equity,Baa2,TOPIX Index,Financials,0.0013801185
189,DAI ICHI LIFE HOLDINGS INC,JP3476480003,Japan,JPY,Tokyo Stock Exchange,Equity,-,TOPIX Index,Financials,0.0013650107
190,SEVEN + I HOLDINGS CO LTD,JP3422950000,Japan,JPY,Tokyo Stock Exchange,Equity,Aa3,TOPIX Index,Consumer Staples,0.0013608657
191,KOMATSU LTD,JP3304200003,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Industrials,0.0013607224
192,ERSTE GROUP BANK AG,AT0000652011,Austria,EUR,Vienna Stock Exchange,Equity,Baa1,Austrian Traded Index,Financials,0.0013534568
193,SUMITOMO CORP,JP3404600003,Japan,JPY,Tokyo Stock Exchange,Equity,A2,TOPIX Index,Industrials,0.0013530713
194,SKANDINAVISKA ENSKILDA BAN A,SE0000148884,Sweden,SEK,Stockholm Stock Exchange,Equity,A1,OMX Stockholm 30 Index,Financials,0.0013485954
195,TRANSURBAN GROUP,AU000000TCL6,Australia,AUD,Australian Stock Exchange,Equity,-,ASX All Ordinaries Index,Industrials,0.0013355385
196,DANSKE BANK A/S,DK0010274414,Denmark,DKK,Copenhagen Stock Exchange,Equity,Baa1,OMX COPENHAGEN 20 Index,Financials,0.0013319639
